idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
132,0.00142812,0.0014678,0.00163027,0.00125491,0.00123686,0.00138911,0.00145154,0.00155409,0.00142391,0.00151433
133,0.00143207,0.00146633,0.00149244,0.00118695,0.0011897,0.00130402,0.00145174,0.00169155,0.00325701,0.00162327
134,0.00171662,0.0014412,0.00145477,0.00142022,0.00126505,0.00138652,0.00140756,0.00170132,0.00140107,0.00135884
135,0.00139897,0.00144398,0.00144629,0.00114164,0.00116977,0.00129809,0.00146999,0.00145207,0.0014476,0.00137845
136,0.00141043,0.00141442,0.00144293,0.00121694,0.0012488,0.00128396,0.00142769,0.00137203,0.00139725,0.00133488
137,0.00141169,0.00140065,0.00143539,0.00280036,0.00290202,0.00149178,0.00168214,0.00173301,0.00163094,0.00162812
138,0.00164449,0.00165149,0.00147277,0.00118544,0.00154754,0.00120583,0.00137299,0.00138115,0.00140787,0.00164758
139,0.00142099,0.00158018,0.00156435,0.00127289,0.00118741,0.00121572,0.00136871,0.00137734,0.00139955,0.0015847
140,0.00142865,0.00163995,0.00147609,0.00134395,0.00139367,0.00119383,0.00151934,0.00138571,0.00160775,0.00147524
141,0.00189437,0.00145343,0.00150844,0.0029013,0.00266014,0.00199489,0.00160549,0.0014356,0.00138645,0.0013898
142,0.00145657,0.00175914,0.00163187,0.00115823,0.00118102,0.00117058,0.00136901,0.00138222,0.00139922,0.00134041
143,0.00143736,0.00141935,0.00148591,0.00119044,0.00118167,0.00139198,0.00138722,0.00151105,0.00156317,0.00136577
144,0.00138155,0.0014654,0.00142632,0.00118831,0.00119921,0.00121736,0.00137373,0.00133856,0.00137927,0.00135682
145,0.00140772,0.00142042,0.00144777,0.0011742,0.00117413,0.00120918,0.00137239,0.00136453,0.0013918,0.00135701
146,0.00139707,0.00142189,0.00141782,0.00118771,0.00129356,0.00145253,0.00161022,0.00149927,0.00163619,0.00142336
147,0.00361634,0.00403774,0.00459956,0.00326691,0.00205767,0.00202051,0.00267703,0.00494284,0.0045219,0.00587705
148,0.00519281,0.00453561,0.00541696,0.00411908,0.00286407,0.00264357,0.00482029,0.00367387,0.00300859,0.00291125
