idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,TLS_RSA_WITH_RC4_128_SHA,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_AES_256_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS_RSA_WITH_AES_128_GCM_SHA256,TLS_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_RC4_128_SHA,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
71,0.004342089,0.003728691,0.003009925,0.002490708,0.002768808,0.002134359,0.002990855,0.002856852,0.002181047,0.002761395,0.002472393,0.002930845,0.002103219,0.001597297,0.001723429,0.001527746,0.002526584,0.0024012
72,0.001589013,0.003979378,0.003326235,0.002758016,0.003801494,0.002566165,0.001962126,0.003035085,0.002928935,0.002561232,0.003941496,0.003419694,0.003532254,0.004179105,0.004267369,0.004886199,0.00501777,0.005523459
73,0.003452309,0.004472636,0.004106061,0.003619255,0.003711594,0.003518055,0.003526831,0.003434117,0.003367435,0.003263735,0.003559068,0.003803772,0.003397327,0.003878874,0.004064132,0.003916353,0.003721413,0.003240458
74,0.002119918,0.001618406,0.002277232,0.001646572,0.002211338,0.00190452,0.00341544,0.003070707,0.003479701,0.00350863,0.003865964,0.003926132,0.003980666,0.003919604,0.004019569,0.003955183,0.003745848,0.003160047
75,0.003046516,0.001983002,0.003070868,0.003233332,0.004139795,0.004502679,0.004027236,0.003772743,0.003538011,0.00319417,0.004782928,0.003660485,0.003899289,0.001496188,0.002555489,0.002137842,0.003295275,0.004755379
76,0.00544369,0.003036778,0.00339519,0.002384536,0.002956618,0.001830756,0.002405549,0.001500604,0.002543775,0.002321597,0.001936857,0.001766416,0.002613252,0.0025657,0.004516011,0.00441024,0.003239303,0.003867877
77,0.003489857,0.003131317,0.001611491,0.001462283,0.00298345,0.001357442,0.00312673,0.001430626,0.00173014,0.003061429,0.003196024,0.003690242,0.003149244,0.003703599,0.003085039,0.003760645,0.003258551,0.003749254
78,0.00317249,0.002982435,0.001509297,0.002828564,0.002304875,0.003233952,0.002961906,0.002117008,0.002795934,0.003440094,0.003077747,0.004204799,0.004371993,0.004943944,0.002868231,0.002828699,0.002806067,0.002741721
79,0.002639941,0.002968261,0.002698606,0.003684198,0.002272061,0.002894476,0.003476765,0.002283516,0.002484805,0.002758626,0.005866473,0.003560524,0.003586513,0.002670077,0.002991098,0.003984434,0.004262463,0.003867503
80,0.003498556,0.003154691,0.003050082,0.001468487,0.002743002,0.002769537,0.001306838,0.002712138,0.001459651,0.001682133,0.002276319,0.003034177,0.002204585,0.001444918,0.004219193,0.002044547,0.002176104,0.004232051
81,0.00397331,0.004168957,0.003988109,0.002269741,0.002455307,0.002201481,0.003158547,0.003562376,0.003357045,0.002486277,0.003301277,0.004052623,0.003330858,0.004127303,0.002837726,0.002564317,0.002627038,0.00224578
82,0.002530347,0.001779093,0.00204611,0.004039867,0.003127449,0.002756432,0.001790625,0.00221684,0.001516265,0.001999699,0.002092077,0.00415057,0.004471043,0.004577339,0.003062084,0.003937268,0.002614609,0.002850929
